HM,50.64,26.24,45.55,43.52,55.37,18.02,50.78,31.32,28.08,48.31,25.45,25.49,16.13,50.71,44.53,60.46,62.80,60.26,22.51,37.71,
SM,50.64,28.18,48.68,45.94,37.45,39.53,23.97,19.36,22.59,10.82,32.79,30.46,37.38,41.43,36.18,33.25,34.73,34.38,30.68,44.30,
Rocker,26.24,28.18,29.75,26.88,49.53,11.44,24.75,11.38,9.86,30.57,5.33,2.53,10.40,29.44,22.39,35.06,37.41,35.09,3.78,22.43,
TM01,45.55,48.68,29.75,2.93,78.46,28.83,27.96,39.65,39.21,55.73,25.45,27.81,32.88,11.50,12.90,28.81,30.36,27.61,31.66,8.05,
TM02,43.52,45.94,26.88,2.93,75.53,26.45,25.75,36.72,36.30,52.86,22.68,24.99,30.37,10.63,10.55,27.55,29.25,26.44,28.88,5.81,
MP,55.37,37.45,49.53,78.46,75.53,56.55,59.81,38.83,39.67,26.69,54.67,51.89,52.16,74.64,68.08,70.18,71.85,71.17,49.00,71.74,
LM,18.02,39.53,11.44,28.83,26.45,56.55,33.84,21.46,18.89,40.94,8.22,9.49,4.64,32.80,26.52,42.83,45.16,42.54,9.05,20.78,
Fleecer,50.78,23.97,24.75,27.96,25.75,59.81,33.84,26.23,28.20,33.65,25.67,25.29,34.66,18.41,15.21,11.29,13.47,11.88,28.53,26.57,
AR02,31.32,19.36,11.38,39.65,36.72,38.83,21.46,26.23,3.24,19.49,16.71,13.91,18.52,36.90,29.99,37.51,39.70,37.99,12.44,32.97,
AR01,28.08,22.59,9.86,39.21,36.30,39.67,18.89,28.20,3.24,22.13,15.09,12.28,15.62,37.41,30.39,39.40,41.64,39.77,10.05,32.15,
AR03,48.31,10.82,30.57,55.73,52.86,26.69,40.94,33.65,19.49,22.13,35.80,33.09,37.74,49.94,43.98,43.63,45.23,44.68,31.93,50.25,
Small_Butte,25.45,32.79,5.33,25.45,22.68,54.67,8.22,25.67,16.71,15.09,35.80,2.82,9.48,26.78,19.98,35.01,37.35,34.81,6.21,17.77,
Small_Butte_Jr,25.49,30.46,2.53,27.81,24.99,51.89,9.49,25.29,13.91,12.28,33.09,2.82,9.38,28.30,21.34,35.18,37.53,35.11,4.11,20.30,
Near_BerkeleyPit,16.13,37.38,10.40,32.88,30.37,52.16,4.64,34.66,18.52,15.62,37.74,9.48,9.38,35.87,29.25,44.39,46.74,44.24,6.94,24.84,
NM,50.71,41.43,29.44,11.50,10.63,74.64,32.80,18.41,36.90,37.41,49.94,26.78,28.30,35.87,7.07,17.35,18.86,16.12,32.41,14.98,
MH,44.53,36.18,22.39,12.90,10.55,68.08,26.52,15.21,29.99,30.39,43.98,19.98,21.34,29.25,7.07,18.66,20.72,17.86,25.44,12.03,
TL02,60.46,33.25,35.06,28.81,27.55,70.18,42.83,11.29,37.51,39.40,43.63,35.01,35.18,44.39,17.35,18.66,2.35,1.49,38.79,30.54,
TL01,62.80,34.73,37.41,30.36,29.25,71.85,45.16,13.47,39.70,41.64,45.23,37.35,37.53,46.74,18.86,20.72,2.35,2.87,41.13,32.49,
TL03,60.26,34.38,35.09,27.61,26.44,71.17,42.54,11.88,37.99,39.77,44.68,34.81,35.11,44.24,16.12,17.86,1.49,2.87,38.78,29.62,
big_m,22.51,30.68,3.78,31.66,28.88,49.00,9.05,28.53,12.44,10.05,31.93,6.21,4.11,6.94,32.41,25.44,38.79,41.13,38.78,23.97,
LH,37.71,44.30,22.43,8.05,5.81,71.74,20.78,26.57,32.97,32.15,50.25,17.77,20.30,24.84,14.98,12.03,30.54,32.49,29.62,23.97,
