HM,120.98,147.33,120.06,119.67,121.76,133.65,121.01,142.5,115.88,120.57,115.02,151.49,111.06,120.98,119.86,122.51,122.84,122.48,145.49,118.42,
SM,120.98,146.37,120.64,120.14,118.38,118.84,114.5,112.64,113.99,166.62,144.99,144.57,118.36,145.52,152.71,161.89,165.58,161.7,134.9,119.81,
Rocker,146.74,146.37,116.37,115.5,120.79,108.08,114.78,108.02,106.77,116.6,101.4,94.9,107.25,145.12,129.11,117.79,118.35,117.79,98.38,113.92,
TM01,120.06,120.64,116.37,96.14,124.77,116.11,115.85,118.87,118.77,160.99,115.02,115.79,117.25,108.13,109.12,116.11,116.56,115.74,116.92,104.99,
TM02,119.67,120.14,115.5,96.14,124.44,115.36,115.11,118.2,118.1,157.61,114.03,114.86,116.56,149.68,107.37,115.72,116.24,115.36,116.12,102.15,
MP,121.76,118.38,120.79,124.77,124.44,121.94,122.43,118.69,118.88,115.44,121.64,121.19,121.24,124.33,123.54,123.79,124,123.91,120.7,123.99,
LM,133.65,118.84,108.08,116.11,115.36,121.94,117.5,113.55,112.44,119.14,105.2,106.45,100.18,117.22,115.38,119.54,119.99,119.48,106.03,113.26,
Fleecer,121.01,114.5,114.78,115.85,115.13,122.43,117.5,115.29,115.91,174.14,115.1,114.97,117.71,112.22,110.55,107.94,109.49,108.4,116.02,115.4,
AR02,142.09,112.64,108.02,118.87,118.2,118.69,113.55,115.29,97.09,112.71,111.36,109.78,112.26,118.24,116.45,160.37,169.21,147.86,108.8,117.26,
AR01,115.88,113.99,106.77,118.77,118.1,118.88,112.44,115.91,97.09,113.81,110.49,108.69,110.78,118.36,116.56,147.31,156.53,118.89,106.94,117.05,
AR03,120.57,167.23,116.6,160.99,157.61,115.44,119.14,174.29,112.71,113.81,117.97,117.29,118.44,176.4,170.19,175.1,194.23,186.37,116.99,139.62,
Small_Butte,115.02,144.99,101.4,115.02,114.03,121.64,105.2,115.1,111.36,110.49,117.97,95.78,106.43,115.45,112.91,141.29,146.94,142.57,102.72,111.9,
Small_Butte_Jr,151.5,144.57,94.9,115.79,114.86,121.19,106.45,114.97,109.78,108.69,117.29,95.78,106.35,133.38,113.48,143.84,149.14,145.61,99.1,113.05,
Near_BerkeleyPit,111.06,118.36,107.25,117.25,116.56,121.24,100.18,117.71,112.26,110.78,118.44,106.43,106.35,117.99,116.23,119.84,120.29,119.82,103.71,114.81,
NM,120.98,145.39,145.24,108.13,149.79,124.33,117.22,112.22,118.24,118.36,176.75,115.45,133.35,117.99,103.85,111.7,112.43,111.06,117.11,110.41,
MH,119.86,152.52,128.6,109.12,107.37,123.54,115.38,110.55,116.45,116.56,170.19,112.91,113.48,116.23,103.85,112.33,113.24,111.95,115.01,108.51,
TL02,122.51,161.89,117.79,116.11,115.72,123.79,119.54,107.94,160.47,147.5,175.1,141.29,143.98,119.84,111.7,112.33,94.18,90.13,118.67,116.6,
TL01,122.84,165.58,118.35,116.56,116.24,124,119.99,109.49,169.61,156.85,193.83,147.25,149.01,120.29,112.43,113.24,94.18,115.29,119.17,117.14,
TL03,122.48,161.21,117.79,115.74,115.36,123.91,119.48,108.4,147.75,118.89,186.46,142.25,145.31,119.82,111.06,111.95,90.13,115.29,118.67,116.34,
big_m,145.49,134.9,98.38,116.92,116.12,120.7,106.03,116.02,108.8,106.94,116.99,102.72,99.1,103.71,117.11,115.01,118.67,119.17,118.67,114.5,
LH,118.42,119.81,113.92,104.99,102.15,123.99,113.26,115.4,117.26,117.05,139.62,111.9,113.05,114.81,110.41,108.51,116.6,117.14,116.34,114.5,
